1, 32, 2, 3793.92, 6701.056
1, 32, 4, 4232.192, 6908.928
1, 32, 8, 4955.136, 7523.328
1, 32, 16, 7336.96, 8818.688
1, 32, 32, 8621.056, 12984.32
2, 32, 64, 14724.096, 21964.8
4, 32, 128, 27486.208, 40266.752
8, 32, 256, 48311.296, 70838.272
16, 32, 512, 91037.696, 132975.616
32, 32, 1024, 178904.064, 262298.624
64, 32, 2048, 357928.96, 522214.4
128, 32, 4096, 725364.736, 1.041600512e+06
256, 32, 8192, 1.45801728e+06, 2.079961088e+06
512, 32, 16384, 2.952462336e+06, 4.156004352e+06
1024, 32, 32768, 1.2447122432e+07, 8.311478272e+06
2048, 32, 65536, 5.2171691008e+07, 1.661441536e+07
4096, 32, 131072, 1.99946350592e+08, 3.3004209152e+07
8192, 32, 262144, 7.59488442368e+08, 6.6424510464e+07
1, 64, 2, 3368.96, 6276.096
1, 64, 4, 3852.288, 6490.112
1, 64, 8, 4455.424, 7022.592
1, 64, 16, 6669.312, 8262.656
1, 64, 32, 7633.92, 11662.336
1, 64, 64, 13137.92, 19644.416
2, 64, 128, 24096.768, 35892.224
4, 64, 256, 46301.184, 68189.184
8, 64, 512, 90576.896, 132865.024
16, 64, 1024, 179540.992, 262373.376
32, 64, 2048, 356663.296, 521871.36
64, 64, 4096, 725064.704, 1.04161792e+06
128, 64, 8192, 1.474221056e+06, 2.079529984e+06
256, 64, 16384, 2.962803712e+06, 4.15616512e+06
512, 64, 32768, 8.031756288e+06, 8.308855808e+06
1024, 64, 65536, 3.5362050048e+07, 1.6614322176e+07
2048, 64, 131072, 1.43440016384e+08, 3.3269823488e+07
4096, 64, 262144, 5.3897563648e+08, 6.7285134336e+07
1, 128, 2, 3379.2, 6258.688
1, 128, 4, 3866.624, 6489.088
1, 128, 8, 4385.792, 7022.592
1, 128, 16, 6233.088, 8153.088
1, 128, 32, 7651.328, 12063.744
1, 128, 64, 12647.424, 19810.304
1, 128, 128, 23337.984, 36307.968
2, 128, 256, 45700.096, 69130.24
4, 128, 512, 90789.888, 134633.472
8, 128, 1024, 180947.968, 265661.44
16, 128, 2048, 360977.408, 528582.656
32, 128, 4096, 734694.4, 1.054106624e+06
64, 128, 8192, 1.499247616e+06, 2.106826752e+06
128, 128, 16384, 3.006657536e+06, 4.2094592e+06
256, 128, 32768, 8.214921216e+06, 8.415620096e+06
512, 128, 65536, 3.4520702976e+07, 1.675999744e+07
1024, 128, 131072, 1.43981432832e+08, 3.3499435008e+07
2048, 128, 262144, 5.33099766784e+08, 6.6997904384e+07
1, 256, 2, 3381.248, 6130.688
1, 256, 4, 3753.984, 6557.696
1, 256, 8, 4974.592, 7124.992
1, 256, 16, 6395.904, 8117.248
1, 256, 32, 7602.176, 11812.864
1, 256, 64, 12594.176, 19751.936
1, 256, 128, 23145.472, 36255.744
1, 256, 256, 43626.496, 68882.432
2, 256, 512, 88909.824, 134148.096
4, 256, 1024, 180608, 264484.864
8, 256, 2048, 364151.808, 525963.264
16, 256, 4096, 728781.824, 1.05002496e+06
32, 256, 8192, 1.492995072e+06, 2.097664e+06
64, 256, 16384, 3.128408064e+06, 4.190891008e+06
128, 256, 32768, 8.783043584e+06, 8.379451392e+06
256, 256, 65536, 3.5461264384e+07, 1.6754152448e+07
512, 256, 131072, 1.43578238976e+08, 3.350558208e+07
1024, 256, 262144, 5.34773441536e+08, 6.7001449472e+07
1, 512, 2, 3086.336, 6109.184
1, 512, 4, 3653.632, 6505.472
1, 512, 8, 4838.4, 7118.848
1, 512, 16, 6277.12, 8179.712
1, 512, 32, 7631.872, 11968.512
1, 512, 64, 12613.632, 19785.728
1, 512, 128, 23073.792, 36224
1, 512, 256, 43950.08, 68725.76
1, 512, 512, 86567.936, 134099.968
2, 512, 1024, 179534.848, 264485.888
4, 512, 2048, 373911.552, 526306.304
8, 512, 4096, 748477.44, 1.04971264e+06
16, 512, 8192, 1.499455488e+06, 2.096357376e+06
32, 512, 16384, 3.120566272e+06, 4.19029504e+06
64, 512, 32768, 1.0375617536e+07, 8.38015488e+06
128, 512, 65536, 3.647653376e+07, 1.6743763968e+07
256, 512, 131072, 1.44891541504e+08, 3.346719744e+07
512, 512, 262144, 5.36477732864e+08, 6.7004914688e+07
1, 1024, 2, 3377.152, 6188.032
1, 1024, 4, 3522.56, 6483.968
1, 1024, 8, 4665.344, 6789.12
1, 1024, 16, 6546.432, 8158.208
1, 1024, 32, 7484.416, 11724.8
1, 1024, 64, 12606.464, 19693.568
1, 1024, 128, 23279.616, 36169.728
1, 1024, 256, 43625.472, 68798.464
1, 1024, 512, 86582.272, 134237.184
1, 1024, 1024, 187896.832, 264476.672
2, 1024, 2048, 387287.04, 526361.6
4, 1024, 4096, 780397.568, 1.049986048e+06
8, 1024, 8192, 1.559196672e+06, 2.09726464e+06
16, 1024, 16384, 3.095182336e+06, 4.144671744e+06
32, 1024, 32768, 1.037753856e+07, 8.3005952e+06
64, 1024, 65536, 4.1293144064e+07, 1.670176256e+07
128, 1024, 131072, 1.63041268736e+08, 3.3390531584e+07
256, 1024, 262144, 5.7722787328e+08, 6.6958016512e+07
