1, 32, 2, 3617.792, 6672.384
1, 32, 4, 3545.088, 6803.456
1, 32, 8, 4504.576, 7547.904
1, 32, 16, 5597.184, 9115.648
1, 32, 32, 7348.224, 12788.736
2, 32, 64, 8246.272, 21798.912
4, 32, 128, 12727.296, 40424.448
8, 32, 256, 20325.376, 72096.768
16, 32, 512, 35372.032, 132247.552
32, 32, 1024, 67360.768, 261148.672
64, 32, 2048, 131609.6, 519203.84
128, 32, 4096, 269663.232, 1.03575552e+06
256, 32, 8192, 575107.072, 2.06939136e+06
512, 32, 16384, 1.512694784e+06, 4.13547008e+06
1024, 32, 32768, 5.752395776e+06, 8.277696512e+06
2048, 32, 65536, 2.31008768e+07, 1.672842752e+07
4096, 32, 131072, 8.6691494912e+07, 3.405655552e+07
8192, 32, 262144, 3.4067662336e+08, 6.8459058176e+07
1, 64, 2, 3381.248, 6180.864
1, 64, 4, 3198.976, 6331.392
1, 64, 8, 4143.104, 6682.624
1, 64, 16, 5122.048, 7901.184
1, 64, 32, 6852.608, 11504.64
1, 64, 64, 10723.328, 19375.104
2, 64, 128, 11140.096, 35750.912
4, 64, 256, 19197.952, 67961.856
8, 64, 512, 35108.864, 133054.464
16, 64, 1024, 67034.112, 262422.528
32, 64, 2048, 131019.776, 521994.24
64, 64, 4096, 266455.04, 1.041581056e+06
128, 64, 8192, 571529.216, 2.080939008e+06
256, 64, 16384, 1.492237312e+06, 4.157252608e+06
512, 64, 32768, 5.451497472e+06, 8.312604672e+06
1024, 64, 65536, 2.1689854976e+07, 1.6767880192e+07
2048, 64, 131072, 8.659970048e+07, 3.4060739584e+07
4096, 64, 262144, 3.3470123008e+08, 6.7892318208e+07
1, 128, 2, 3306.496, 6045.696
1, 128, 4, 3106.816, 6152.192
1, 128, 8, 4102.144, 6581.248
1, 128, 16, 4842.496, 7885.824
1, 128, 32, 7157.76, 11641.856
1, 128, 64, 9974.784, 19318.784
1, 128, 128, 17879.04, 35928.064
2, 128, 256, 19144.704, 68193.28
4, 128, 512, 34721.792, 133363.712
8, 128, 1024, 65724.416, 262595.584
16, 128, 2048, 128609.28, 522657.792
32, 128, 4096, 261954.56, 1.042020352e+06
64, 128, 8192, 563207.168, 2.080479232e+06
128, 128, 16384, 1.447658496e+06, 4.157850624e+06
256, 128, 32768, 5.304159232e+06, 8.312329216e+06
512, 128, 65536, 2.1403594752e+07, 1.674714112e+07
1024, 128, 131072, 8.4073979904e+07, 3.3999777792e+07
2048, 128, 262144, 3.28253170688e+08, 6.7727117312e+07
1, 256, 2, 3118.08, 6337.536
1, 256, 4, 3472.384, 6301.696
1, 256, 8, 4081.664, 6748.16
1, 256, 16, 5058.56, 7953.408
1, 256, 32, 6472.704, 11679.744
1, 256, 64, 10019.84, 19525.632
1, 256, 128, 17917.952, 35874.816
1, 256, 256, 21125.12, 68263.936
2, 256, 512, 35250.176, 133361.664
4, 256, 1024, 67226.624, 262810.624
8, 256, 2048, 131653.632, 522259.456
16, 256, 4096, 260489.216, 1.041673216e+06
32, 256, 8192, 558507.008, 2.080454656e+06
64, 256, 16384, 1.57200384e+06, 4.158145536e+06
128, 256, 32768, 5.5079936e+06, 8.312865792e+06
256, 256, 65536, 2.2177627136e+07, 1.6713288704e+07
512, 256, 131072, 8.7425733632e+07, 3.3971054592e+07
1024, 256, 262144, 3.3132420608e+08, 6.7644722176e+07
1, 512, 2, 3010.56, 6040.576
1, 512, 4, 3522.56, 6099.968
1, 512, 8, 3746.816, 6887.424
1, 512, 16, 4620.288, 7975.936
1, 512, 32, 6517.76, 11756.544
1, 512, 64, 10378.24, 19494.912
1, 512, 128, 17828.864, 35907.584
1, 512, 256, 21144.576, 68207.616
1, 512, 512, 41329.664, 133303.296
2, 512, 1024, 70618.112, 262692.864
4, 512, 2048, 139353.088, 522269.696
8, 512, 4096, 278096.896, 1.04211968e+06
16, 512, 8192, 557412.352, 2.080886784e+06
32, 512, 16384, 1.573318656e+06, 4.15809536e+06
64, 512, 32768, 6.217885696e+06, 8.313051136e+06
128, 512, 65536, 2.1877926912e+07, 1.670797312e+07
256, 512, 131072, 8.2521897984e+07, 3.397302272e+07
512, 512, 262144, 3.29987833856e+08, 6.765052416e+07
1, 1024, 2, 3357.696, 5985.28
1, 1024, 4, 3454.976, 6387.712
1, 1024, 8, 3965.952, 6876.16
1, 1024, 16, 4554.752, 7956.48
1, 1024, 32, 6710.272, 11583.488
1, 1024, 64, 10381.312, 19533.824
1, 1024, 128, 17776.64, 35801.088
1, 1024, 256, 21114.88, 68191.232
1, 1024, 512, 41321.472, 133176.32
1, 1024, 1024, 116620.288, 262689.792
2, 1024, 2048, 200710.144, 522390.528
4, 1024, 4096, 396188.672, 1.042082816e+06
8, 1024, 8192, 787580.928, 2.079950848e+06
16, 1024, 16384, 1.589974016e+06, 4.157344768e+06
32, 1024, 32768, 6.33661952e+06, 8.310535168e+06
64, 1024, 65536, 2.4727005184e+07, 1.6648506368e+07
128, 1024, 131072, 8.8672900096e+07, 3.381159424e+07
256, 1024, 262144, 3.4255065088e+08, 6.73224192e+07
