32, 2, 3556.352, 6461.44
32, 4, 3920.896, 6834.176
32, 8, 4483.072, 7585.792
32, 16, 6035.456, 8832
32, 32, 9084.928, 12988.416
32, 64, 12528.64, 21911.552
32, 128, 22645.76, 39633.92
32, 256, 38978.56, 68722.688
32, 512, 76275.712, 133981.184
32, 1024, 150410.24, 264642.56
32, 2048, 299184.128, 526218.24
32, 4096, 608453.632, 1.04933888e+06
32, 8192, 1.22526208e+06, 2.096447488e+06
32, 16384, 2.660379648e+06, 4.188713984e+06
32, 32768, 1.101369344e+07, 8.374788096e+06
32, 65536, 4.5842251776e+07, 1.6571297792e+07
32, 131072, 1.81559346176e+08, 3.299515392e+07
32, 262144, 6.94424559616e+08, 6.6366422016e+07
64, 2, 3074.048, 5919.744
64, 4, 3563.52, 6345.728
64, 8, 4045.824, 6795.264
64, 16, 5332.992, 7942.144
64, 32, 8240.128, 11529.216
64, 64, 9973.76, 19422.208
64, 128, 19084.288, 35469.312
64, 256, 37397.504, 67738.624
64, 512, 74728.448, 132059.136
64, 1024, 148127.744, 260410.368
64, 2048, 295226.368, 518514.688
64, 4096, 600085.504, 1.03429632e+06
64, 8192, 1.212749824e+06, 2.065845248e+06
64, 16384, 2.616843264e+06, 4.126534656e+06
64, 32768, 7.382478848e+06, 8.296523776e+06
64, 65536, 3.1810715648e+07, 1.66143488e+07
64, 131072, 1.31046986752e+08, 3.3224594432e+07
64, 262144, 4.84632450048e+08, 6.7129812992e+07
128, 2, 3151.872, 6190.08
128, 4, 3590.144, 6373.376
128, 8, 4079.616, 6940.672
128, 16, 5487.616, 8034.304
128, 32, 8295.424, 11997.184
128, 64, 10576.896, 19824.64
128, 128, 19451.904, 36323.328
128, 256, 38028.288, 68443.136
128, 512, 74469.376, 132838.4
128, 1024, 148755.456, 262562.816
128, 2048, 296221.696, 522004.48
128, 4096, 602917.888, 1.041324032e+06
128, 8192, 1.21846272e+06, 2.079273984e+06
128, 16384, 2.63707648e+06, 4.1560832e+06
128, 32768, 7.396662272e+06, 8.307919872e+06
128, 65536, 3.1276368896e+07, 1.66160896e+07
128, 131072, 1.31087629312e+08, 3.3230682112e+07
128, 262144, 4.83775725568e+08, 6.7262119936e+07
256, 2, 3023.872, 6184.96
256, 4, 3515.392, 6489.088
256, 8, 4298.752, 6984.704
256, 16, 5239.808, 8036.352
256, 32, 8126.464, 11711.488
256, 64, 10706.944, 19744.768
256, 128, 19423.232, 36113.408
256, 256, 36194.304, 69035.008
256, 512, 73645.056, 134677.504
256, 1024, 150047.744, 265623.552
256, 2048, 304135.168, 528713.728
256, 4096, 609813.504, 1.05479168e+06
256, 8192, 1.236742144e+06, 2.106442752e+06
256, 16384, 2.81687552e+06, 4.209284096e+06
256, 32768, 7.924452352e+06, 8.414324736e+06
256, 65536, 3.21246976e+07, 1.6719858688e+07
256, 131072, 1.31903606784e+08, 3.3498740736e+07
256, 262144, 4.82604012544e+08, 6.6987429888e+07
512, 2, 2956.288, 5952.512
512, 4, 3154.944, 6349.824
512, 8, 4237.312, 6835.2
512, 16, 5497.856, 8096.768
512, 32, 8266.752, 11879.424
512, 64, 10530.816, 19689.472
512, 128, 19494.912, 36118.528
512, 256, 35960.832, 68783.104
512, 512, 71313.408, 134181.888
512, 1024, 148755.456, 264765.44
512, 2048, 308933.632, 526308.352
512, 4096, 618621.952, 1.050191872e+06
512, 8192, 1.238124544e+06, 2.097114112e+06
512, 16384, 2.796814336e+06, 4.19127296e+06
512, 32768, 9.048646656e+06, 8.38061056e+06
512, 65536, 3.2436955136e+07, 1.6696409088e+07
512, 131072, 1.3226262016e+08, 3.35051264e+07
512, 262144, 4.90981635072e+08, 6.6995940352e+07
1024, 2, 3156.992, 5960.704
1024, 4, 3449.856, 6459.392
1024, 8, 3799.04, 6854.656
1024, 16, 5762.048, 7998.464
1024, 32, 8244.224, 11626.496
1024, 64, 10617.856, 19733.504
1024, 128, 19349.504, 35938.304
1024, 256, 35253.248, 67923.968
1024, 512, 70269.952, 132553.728
1024, 1024, 162393.088, 261308.416
1024, 2048, 343002.112, 520002.56
1024, 4096, 692841.472, 1.036275712e+06
1024, 8192, 1.383873536e+06, 2.06955008e+06
1024, 16384, 2.78398464e+06, 4.157787136e+06
1024, 32768, 9.031553024e+06, 8.374965248e+06
1024, 65536, 3.6070095872e+07, 1.6742740992e+07
1024, 131072, 1.39215814656e+08, 3.3481541632e+07
1024, 262144, 5.03304169472e+08, 6.6955244544e+07
